CODE_COM;APL_EHPA;APL_RA;APL_SAPA
49135;108960.47;1607.92;1193.45
49137;71122.91;380.67;460.63
49224;101354.2;1092.33;743.37
49234;62065.52;627.1;573.05
49282;102426.61;326.79;849.25
49317;140254.76;1994.51;1437.29
49319;117724.23;903.18;1081.92
49322;111308.85;1539.28;1091.79
49354;91944.8;1294.48;653.19
51635;35681.36;460.58;346.51
51651;90874.6;1359.8;1674.92
51663;141597.55;2504.25;1943.45
52007;56854.71;160.32;1189.05
01010;70443.5;0.0;463.48
01099;66486.48;630.11;301.22
01171;76019.71;658.21;99.43
02509;61010.85;182.39;204.42
02544;117776.35;403.04;1597.81
02545;69752.73;0.0;964.75
02558;112053.48;613.44;1185.54
02601;56711.04;1852.84;1262.25
02618;94392.99;342.46;2286.24
02619;71547.62;410.6;444.67
02620;70303.25;234.55;672.69
02627;46774.72;0.0;525.48
02638;115307.78;442.59;606.92
02653;82763.4;182.39;196.05
02667;93560.46;234.55;391.25
02671;107901.38;480.0;626.46
02685;86780.78;176.05;512.77
02707;98317.88;176.05;406.03
02708;86382.56;266.54;1579.2
02764;47085.56;0.0;591.72
02796;74023.46;182.39;530.64
02817;84460.76;370.04;391.25
02829;100777.42;339.88;647.84
03062;95174.66;280.97;344.82
03063;77635.71;1181.72;664.21
03071;79826.72;0.0;643.66
03095;140506.89;238.18;865.14
03097;81943.62;217.42;508.82
03102;78483.17;223.86;1118.23
03111;114977.81;287.89;461.54
03123;107758.62;484.75;571.3
03136;114349.93;705.39;433.19
03137;120810.17;172.68;746.8
03193;93282.84;1014.55;571.3
03194;77095.78;280.97;317.34
03215;130960.3;172.68;746.8
03222;108419.69;0.0;114.19
03256;72603.4;115.98;79.89
03284;60336.0;0.0;570.13
03287;84263.94;439.05;1500.37
04023;64300.92;497.68;4185.84
04065;61494.24;201.57;343.52
04116;109121.31;438.5;585.69
04118;54740.59;936.19;4439.74
04122;190335.6;1430.46;1282.73
04123;111152.12;1643.27;1271.93
04134;48461.23;936.19;4439.74
04140;13422.53;1044.15;0.0
04154;84999.65;0.0;2614.9
04160;54987.11;201.57;544.76
08071;75376.09;0.0;777.17
08099;80983.4;1045.38;3034.7
08137;117819.96;619.34;3200.12
08143;47030.64;426.03;792.46
08145;113193.72;739.27;3474.46
08158;78116.73;619.34;3437.19
08176;62065.68;0.0;767.76
08179;58803.59;387.33;351.29
08198;77728.53;0.0;1624.28
08199;92991.33;619.34;2861.36
08202;81937.35;0.0;847.35
08216;102514.26;619.34;3200.12
08237;96786.78;426.94;2751.06
08242;69362.58;386.33;2787.02
08243;71271.96;426.03;876.19
08249;86198.2;386.33;3428.38
08252;78281.87;346.72;633.57
